Kanji,Meaning
日,"day, sun, Japan, counter for days"
一,one
国,country
会,meeting; meet
人,person
年,"year, counter for years"
大,"large, big"
十,"ten, 10"
二,"two, 2"
本,"book, present, true, counter for long cylindrical things"
中,"in, inside, middle, mean, center"
長,"long, leader, superior, senior"
出,"exit, leave, go out"
三,"three, 3"
同,"same, agree, equal"
時,"time, hour"
政,"politics, government"
事,"matter, thing, fact, business, reason, possibly"
自,oneself
行,"going, journey, carry out, line, row"
社,"company, firm, office, association, shrine"
見,"see, hopes, chances, idea, opinion, look at, visible"
月,"month, moon"
分,"part, minute of time, understand"
議,"deliberation, consultation, debate"
後,"behind, back, later"
前,"in front, before"
民,"people, nation, subjects"
生,"life, genuine, birth"
連,"take along, lead, join, connect"
五,"five, 5"
発,"departure, discharge, emit, start from"
間,"interval, space"
対,"opposite, even, equal, versus, anti-, compare"
上,"above, up"
部,"section, bureau, dept, class, copy, part, portion"
東,east
者,"someone, person"
党,"party, faction, clique"
地,"ground, earth"
合,"fit, suit, join, 0.1"
市,"market, city, town"
業,"business, vocation, arts, performance"
内,"inside, within, between, among, house, home"
相,"inter-, mutual, together, each other, minister of state"
方,"direction, person, alternative"
四,"four, 4"
定,"determine, fix, establish, decide"
今,now; the present
回,"-times, round, revolve, counter"
新,new
場,"location, place"
金,gold
員,"employee, member, number, the one in charge"
九,"nine, 9"
入,"enter, insert"
選,"elect, select, choose, prefer"
立,"stand up, rise"
開,"open, unfold, unseal"
手,hand
米,"rice, USA, meter"
力,"power, strength, strong, strain, bear up, exert"
学,"study, learning, science"
問,"question, ask, problem"
高,"tall, high, expensive"
代,"substitute, change, convert, replace, period"
明,"bright, light"
実,"reality, truth"
円,"circle, yen, round"
関,"connection, barrier, gateway, involve, concerning"
決,"decide, fix, agree upon, appoint"
子,child
動,"move, motion, change"
京,capital
全,"whole, entire, all, complete, fulfill"
目,"eye, class, look, insight, experience"
表,"surface, table, chart, diagram"
戦,"war, battle, match"
経,"longitude, pass thru, expire, warp"
通,"traffic, pass through, avenue, commute"
外,outside
最,"utmost, most, extreme"
言,"say, word"
氏,"family name, surname, clan"
現,"present, existing, actual"
理,"logic, arrangement, reason, justice, truth"
調,"tune, tone, meter, prepare, investigate"
体,"body, substance, object, reality"
化,"change, take the form of, influence, enchant, delude, -ization"
田,"rice field, rice paddy"
当,"hit, right, appropriate"
八,"eight, 8"
六,"six, 6"
約,"promise, approximately, shrink"
主,"lord, chief, master, main thing, principal"
題,"topic, subject"
下,"below, down, descend, give, low, inferior"
首,neck
意,"idea, mind, heart, taste, thought"
法,"method, law, rule, principle, model, system"