Japanese,English
何,what
あ,a
あなた,you
言,words
行,line
人,Man
知,knowledge
事,case
彼女,she
お前,you
話,Story
来,Next
分か,minutes
者,person
聞,Listen
死,death
時,Time
ああ,ah
殺,murder
前,Before
中,During ~
達,reach
必要,need
あの,that
気,air
大丈夫,Are you okay
自分,myself
持,Hold
本当,TRUE
時間,time
我々,we
一,one
的,target
無,Nothing
ありがとう,thank you
家,House
会,Association
日,Day
年,Year
仕事,work
手,hand
一緒,together
後,rear
出来,Done
他,other
入,Enter
電話,phone
目,eye
様,Mr.
分,minutes
車,car
所,place
あんた,You
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Faith
さあ,here we go
少し,a bit
使,messenger
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
今日,today
物,thing
女,woman
呼,call
生き,alive
あれ,that
じゃあ,Well then
止め,stop
心配,anxiety
母,mother
連れ,companion
関係,relationship
外,outside
家族,family
起き,wake up
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Made by
次,Next
息子,son
取,Tori
全部,All
間,while
書,book
捜査,investigation
起こ,wake up
回,times
別,another
情報,information
理由,reason
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,woman
続け,continue
事件,incident
始め,start
最初,first
連絡,contact
まあ,oh dear
調べ,Investigation
安全,safety
下さ,Down
楽し,fun
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
無理,Impossible
感じ,feeling
得,profit
最高,the best
送,Sending
計画,plan
仲間,fellow
先,destination
可能,Possible
あいつ,that person
あと,After
明日,tomorrow
変わ,strange
聞こえ,I can hear it
確認,confirmation
命,life
着,arrival
与え,give
全員,Everyone
動,motion
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,machine
不,No
あげ,Fried
離れ,apart
戦,war
先生,teacher
言え,say
質問,question
置,Place
犯人,culprit
受け,received
感,Feeling
第,No.
あぁ,Ahh
伝え,Legend
素晴らし,Wonderful
ドア,door
本,Book
乗,Squared
用,for
感謝,thanks
正し,Correct
言葉,words
大,Big
立,standing
写真,photograph
２人,2 people
説明,explanation
博士,doctor
強,strength
絶対,absolute
座,seat
国,Country
向か,Across the street
名,given name
ある,be
野郎,Bastard
番,number
一番,number one
重要,important
状況,situation
元気,fine
水,water
変え,change
十分,sufficient
週間,week
やあ,Hi
父親,father
間違い,error
王,king
了解,roger that
相手,partner
員,member
声,voice
会え,See you
音,sound
多く,many
消え,vanish
会社,company
簡単,easy
選,Selection
残念,disappointing
自由,freedom
自身,himself
等,etc
一体,Together
人々,people
報告,report
読,reading
過ぎ,too much
通,General
アメリカ,America
元,Former
命令,order
高,high
体,body
大統領,president
月,Month
警官,police officer
語,word
学校,school
対,versus
決め,decision
真実,truth
初めて,first time
口,mouth
大変,hard
要,Essential
変,strange
戦争,war
学,studies
あそこ,over there
武器,weapon
店,shop
母親,mother
刑事,detective
気持ち,feeling
間違,mistake
運,luck
記録,record
光,light
手伝,help
深,deep
落ち着,calm down
存在,existence
実,fruit
役,role
病院,hospital
住,residence
責任,responsibility
あっ,Ah
普通,usually
行動,action
大きな,big
監視,monitoring
協力,cooperation
多分,perhaps
実際,actual
足,feet
地球,earth
生活,life
任せ,leave to
気分,feeling
解決,solution
結果,result
調査,investigation
研究,the study
何処,where
発見,discovery
場,place
大事,important
止ま,stop
興味,interest
大き,big
生,Living
なあ,Hey
運転,driving
ヶ月,months
多,Many
１人,1 person
番号,number
状態,situation
来い,come
開,Open
上手,good
済,done
場合,case
刑務,prison sentence
今度,next time
以外,other than
朝,morning
飛行,flight
あまり,not much
近く,near
後ろ,behind
目的,the purpose
歌,song
面白,Interesting
弁護,defense
客,customer
売,Sale
特別,special
昨日,yesterday
少な,little
認め,recognition
死体,cadaver
医者,doctor
装置,Device
共,Both
唯一,Only
あんな,That kind of thing
不明,not clear
限り,as long as
信用,credit
美し,beautiful
用意,preparation
話せ,talk
移動,move
映画,movie
美咲,Misaki
取引,transaction
最近,recently
現場,On-site
事故,accident
連中,guys
過去,past
全く,absolutely
選択,choice
完全,Perfect
信じ,believe
信頼,trust
町,town
何故,why
始ま,beginning
精神,spirit
付け,attached
あら,fault
女の子,girl
気づ,Notice
記憶,Memory
頑張,Do your best
2人,2 people
素敵,nice
身,body
価値,value
有,Yes
非常,emergency
三,three
最も,most
両親,parents
人物,person
生まれ,birth
警備,security
以前,Before
無事,Safely
聞け,Listen
決して,never
銀行,Bank
馬鹿,fool
裁判,trial
降り,descending
大学,university
州,state
今回,this time
空,Sky
経験,experience
本物,genuine
部,Department
化,transformation
未来,future
正直,Honesty
年間,yearly
無駄,waste
現れ,Appearance
島,island
病気,disease
内,Inside
風,Wind
結構,fine
治療,treatment
予定,schedule
点,point
1人,1 person
許可,permission
勇気,courage
最悪,worst
本気,Seriously
全然,not at all
任務,mission
日本,Japan
作戦,strategy
成功,success
進,Susumu
近づ,approach
品,Goods
消,Disappear
小さな,small
科学,science
放,release
向こう,beyond
事実,fact
食,food
関,Seki
戦い,Fight
少年,boy
爆発,explosion
現実,reality
保護,protection
地下,underground
隊,squad
地,earth
別れ,farewell
時代,era
使え,Use it
組織,organization
式,formula
落ち着け,Calm down
動物,animal
無し,none
下が,The bottom is
技術,technology
個人,individual
期待,expectations
調子,condition
線,line
局,station
利用,use
主人,master
館,Hall
毎日,every day
付,With
当然,Of course
患者,patient
全,all
今朝,this morning
過ご,spend time
馬,Horse
あー,ah
あたし,I
立て,stand up
地獄,hell
合,If
続,Continued
陛下,His Majesty
小さ,small
火,fire
平気,I'm fine
世話,care
能力,ability
理子,Riko
検査,inspection
アレックス,Alex
木,wood
号,issue
山,Mountain
解,Solution
警部,Inspector
食事,meal
幸運,good luck
構,Structure
侵入,intrusion
駄目,No good
緊急,emergency
親父,father
気付,care
主,main
速,speed
代わり,substitute
休,Closed
原因,cause
警告,caveat
山里,mountain village
特に,especially
部下,subordinate
運命,destiny
到着,arrival
自殺,suicide
屋,shop
現在,the current
一部,part
行為,action
遺体,corpse
大切,important
関わ,involved
常,always
感情,emotions
夕食,dinner
星,Star
達也,Tatsuya
手紙,letter
混乱,confusion
支配,control
影響,influence
受け入れ,accept
知れ,Know
行方,whereabouts
少女,girl
位,rank
半分,half
誕生,birth
超,Hyper
施設,facility
殺せ,Kill it
向け,for
機会,opportunity
人類,Human race
正確,correct
色々,various
活動,activity
料理,cooking
要求,request
再,Re
指示,instructions
部隊,troops
何者,who
音楽,music
上げ,raise
管理,management
映像,picture
開始,start
議員,Member of Parliament
反対,Opposition
勝手,selfishness
器,vessel
反応,reaction
可愛,cute
権利,right
女王,queen
師,teacher
大好き,really like
面倒,troublesome
出発,departure
引,Pull
保安,security
上が,The top is
決ま,Decided
楽しみ,fun
行き,Going
将軍,general
担当,in charge
事態,situation
一杯,a cup of
近,near
発,Departure
取り戻,take back
偉大,great
結局,in the end
ロシア,Russia
司令,command
平和,peace
解放,release
直,straight
事務,Office work
瞬間,moment
教授,Professor
示,Show
教会,church
優し,Kindness
位置,position
以来,Since then
突然,suddenly
付き合,companionship
集中,concentration
通信,communication
あっち,Over there
契約,contract
異常,abnormality
殺し,kill
部分,part
様子,state
沢山,Lot
住所,address
参加,participation
旅,Journey
社,company
重,heavy
自然,Nature
殺害,murder
園,garden
速人,Hayato
途中,in the middle
証言,testimony
夏美,Natsumi
取れ,Take it
前回,last time
手術,surgery
強盗,robbery
種,seed
魔女,witch
信号,signal
専門,specialty
閣下,Your Honor
会議,meeting
美月,Mizuki
提供,offer
離,away
荷物,luggage
安心,peace of mind
基地,base
目撃,sighting
動き,movement
指,finger
時々,sometimes
怪物,monster
会話,conversation
受け取,receipt
一致,match
全体,whole
徳井,Tokui
アンタ,You
親,parent
天使,angel
勝利,victory
主義,principle
旅行,trip
死亡,death
夫人,Mrs.
目標,the goal
個,Individual
中国,China
生徒,student
建物,building
確信,conviction
出会,encounter
使用,use
台,stand
社会,society
周り,around
市民,citizen
色,color
停止,Stop
曲,song
実験,experiment
直接,directly
川,river
ありがと,thank you
実行,execution
半,half
乗せ,ride
後悔,regret
案内,guidance
禁止,Ban
距離,distance
次第,depend on
感染,infection
制御,control
有名,famous
戦闘,battle
以内,within
書類,document
偶然,coincidence
機械,machine
最終,Final
無視,ignore
王子,prince
呼吸,breathing
巨人,Giant
軍隊,army
支援,support
大人,adult
同意,consent
恋人,lover
知り合い,acquaintance
努力,effort
白,White
足り,Enough
進め,proceed
惑星,planet
味方,Ally
回復,recovery
新聞,newspaper
話し,story
アパート,apartment
組,set
アア,Aah
生き残,survive
一生,lifetime
処理,process
兵器,weapons
方向,direction
決定,decision
当た,I won
アクセス,access
満足,satisfaction
クレア,Claire
神経,nerve
症,disease
親友,Close friend
流,flow
分析,analysis
不思議,wonder
限,Limited
半田,solder
物語,story
ア,a
練習,practice
久し,It’s been a while
他人,others
両方,both
南,south
成長,growth
再び,again
医,medicine
指揮,command
最大,maximum
病,disease
記事,article
時計,clock
アラン,Alan
手段,means
高校,high school
太陽,Sun
具合,condition
青,blue
向,Direction
才能,talent
交換,exchange
所有,possession
最低,lowest
救急,emergency
魅力,charm
楽,easy
応答,response
最,most
修理,repair
勉強,study
提案,suggestion
資金,funds
社長,president
ありさ,Arisa
試合,game
気の毒,I feel sorry for you
金持ち,Rich man
安定,stable
指紋,fingerprint
流れ,flow
経,Sutra
団,group
代,teenager
日間,days
午後,afternoon
政治,politics
正体,true identity
確保,Secure
機能,function
優秀,excellence
動か,move
発生,occurrence
英雄,hero
立場,position
電気,electricity
帽子,hat
効果,effect
アンナ,anna
条件,conditions
確実,certainty
連邦,federal
規則,rules
土地,land
直ぐ,immediately
卒業,graduation
手がかり,clue
自己,self
列車,train
加減,Adjustment
暴力,violence
立派,fine
石,stone
同様,similar
不安,anxiety
身体,body
ライアン,ryan
無線,wireless
対処,handle
権,right
起動,boot
誤解,misunderstanding
治,Osamu
雄基,Yuki
接触,contact
名誉,honor
説得,persuasion
特定,identification
標的,target
正義,justice
見張,Lookout
導,Guidance
無実,innocent
アイツ,He
興奮,excitement
承知,Understood
納得,Consent
光栄,Honor
本部,Headquarters
変更,change
大佐,Colonel
空気,air
支払,payment
あらゆる,every
表,table
片付け,Tidying up
アダム,Adam
地図,map
法律,law
医療,medical care
台無し,ruin
非,Non
貴様,you
形,shape
評価,evaluation
都市,City
出身,Birthplace
釈放,release
大した,big deal
保証,guarantee
予想,prediction
省,Ministry
疑問,doubt
同僚,colleague
変化,change
交渉,negotiation
合わせ,Matching
生命,life
村,village
作業,work
将来,future
面,surface
悠里子,Yuriko
空港,airport
指輪,ring
巨大,huge
西,West
手配,arrangement
工場,factory
城,castle
取り,take
話し合,discussion
東,east
あるいは,or
目覚め,Awakening
金庫,safe
間違え,mistake
馬場,Baba
内部,internal
艦隊,fleet
食料,food
あり,can be
保険,insurance
得意,good at
医師,doctor
英語,English
離婚,divorce
子ども,Child
違反,violation
公,public
維持,maintain
男の子,boy
政子,Masako
味,taste
口座,account
大勢,large crowd
鉄,iron
親切,Kindness
仕業,work
贈り物,gift
待機,stand-by
戦士,warrior
知らせ,news
尋問,interrogation
発射,firing
食べ物,food
系,system
駅,station
開発,development
事情,circumstances
育て,Raise
上司,boss
国家,nation
大使,ambassador
機関,institution
生物,living thing
超え,exceed
天才,genius
量,amount
横,beside
観,view
入り,enter
正気,sanity
人質,hostage
有罪,guilty
約,about
中止,cancel
発表,announcement
現金,cash
始末,Disposal
撮影,photograph
衛星,satellite
都合,convenience
関連,connection
間に合,in time
小屋,hut
公園,park
単純,simple
王国,kingdom
存知,Know
加え,addition
道路,road
育,Education
神父,priest
慎重,cautious
生存,survival
注文,order
物質,material
関心,interest
時期,season
駐車,Parking
乗れ,Get on
遺伝,genetics
返事,reply
エイリアン,alien
化学,chemistry
数え,counting
緊張,tension
優先,priority
米国,US
当て,guess
出来事,event
設計,design
大量,large amount
投げ,Throw
内容,Content
機密,confidential
授業,class
義務,duty
突き止め,Find out
広,wide
通報,Report
文字,letter
アップ,up
学生,student
オリビア,olivia
暗殺,assassination
注目,attention
暗号,cryptography
背中,back
囚人,prisoner
完成,Complete
休み,holiday
孤独,loneliness
アイデア,idea
武装,armed
果た,Fulfilled
地域,region
始まり,the beginning
見事,splendidly
防衛,defense
人形,doll
カリフォルニア,California
着陸,landing
文句,Complaint
委員,committee member
地元,local
自信,confidence
貴女,you
知識,knowledge
予約,reservation
メアリー,mary
椅子,Chair
教師,teacher
賛成,agreement
操作,operation
要請,request
記者,reporter
今後,from now on
畜生,damn it
伝説,Legend
主張,claim
民,people
自ら,oneself
死者,dead
アンディ,andy
機嫌,mood
小,small
アリス,Alice
あきらめ,give up
程,degree
ばあ,Baba
証人,witness
議論,discussion
一般,General
先週,last week
放射,radiation
程度,degree
アホ,Idiot
身元,identity
有難う,Thank you
アーサー,arthur
強力,powerful
同時,simultaneous
休暇,vacation
拷問,torture
出口,Exit
決断,decision
移,Transfer
大尉,Captain
小僧,kid
態度,attitude
記念,memorial
投資,investment
危機,crisis
持て,have it
アナタ,you
企業,company
接近,approach
世紀,century
一方,on the other hand
動け,Move
知ら,I don't know
否定,denial
保管,storage
ジュリア,Julia
吉森,Yoshimori
燃料,fuel
源,source
反,anti
千,thousand
順調,Going well
道具,tool
状,condition
非難,condemnation
朝食,breakfast
環境,environment
役立,Useful
午前,morning
アーマン,Aman
援護,support
動機,motive
売春,prostitution
令状,warrant
指導,guidance
天国,heaven
この世,This world
代表,representative
投票,vote
作れ,Make it
最善,best
地上,above ground
手助け,help
婚約,engagement
選手,player
保障,security
自動,automatic
呼び出,call
売れ,Selling
策,plan
伝言,message
経営,management
中尉,lieutenant
休憩,break
数学,Math
院,Hospital
夜中,midnight
番組,program
作品,the work
種類,kinds
手遅れ,too late
外れ,out of place
警戒,vigilance
ジュリアン,julian
似合,Looks good on you
犯行,crime
基本,basic
影,Shadow
読め,read
警報,alarm
不足,shortage
門,gate
同士,each other
動揺,upset
手伝い,help
対応,correspondence
白人,white people
科,Department
推測,guess
航空,aviation
国民,people
演奏,performance
屋根,roof
呼べ,Call me
初,first time
神々,Gods
自宅,one's home
中毒,addiction
回収,collect
特殊,Special
降ろ,Get off
市場,market
放せ,Let go
帝国,empire
送信,send
四,four
国境,border
芸術,art
殺し屋,killer
人殺し,murderer
資料,Document
親し,Relatives
年代,era
飲み物,drink
正当,legitimate
諜報,intelligence
単なる,mere
感覚,feelings
放送,broadcast
老人,old man
夢中,crazy
配置,arrangement
支持,support
来れ,Come
告白,confession
教育,education
従業,employee
看護,Nurse
宝石,jewelry 
生か,is it raw
利益,profit
黒人,black people
農場,farm
金曜,Friday
着け,wear it
アイス,ice
地区,district
保,Protection
候補,candidate
認識,recognition
家庭,home
近所,neighborhood
持ち,have
中心,center
接続,connection
艦,ship
取得,acquisition
臆病,cowardice
若者,youth
観察,observation
大金,large sum of money
速度,speed
今年,this year
使命,mission
数字,numbers
独り,alone
術,technique
中身,contents
座れ,Sit down
登,Noboru
応援,support
世間,world
不幸,unhappiness
アニー,Annie
済み,Done
理論,theory
不能,inability
訪問,visit
貴重,valuable
正,Positive
連れ出,Take out
安,Cheap
阻止,prevention
外出,Go out
処分,disposal
アレ,That's it
少佐,Major
来週,next week
権力,power
両手,both hands
優れ,excellent
共有,share
載,Listed
死刑,death penalty
余計,Extra
無罪,Not guilty
深刻,serious
対策,countermeasure
運動,motion
係,Person in charge
東京,Tokyo
愛し,love
浮気,Cheating
登録,Registration
発作,seizure
権限,authority
か月,month
輸送,transportation
中央,center
あんまり,not really
集団,group
引っ張,pull
何百,hundreds
限界,limit
下げ,Lower
波,wave
何事,What's going on?
ありがた,Thank you
相当,equivalent
岩,rock
着替え,Change of clothes
趣味,hobby
全力,Full power
解除,Cancellation
計算,calculation
降,rain
映,Movie
財布,wallet
不満,dissatisfaction
代理,substitute
去年,last year
賞,award
一言,One word
連続,continuous
太,Thick
最新,latest
金属,metal
とりあえず,for now
教,teaching
イタリア,Italy
関与,involvement
人気,Popularity
生き延び,survive
下ろ,Get down
通常,usually
巡査,police officer
報酬,reward
署名,signature
一族,clan
反逆,rebellion
助手,assistant
過ち,mistake
美人,beautiful woman
進行,progress
民間,private
余地,room
選挙,election
悲劇,tragedy
含,Contains
財産,property
離せ,Let go
共通,common
滞在,stay
初め,beginning
合図,sign
国際,international
事業,business
当時,at that time
成,Growth
電源,power supply
強制,compulsion
革命,revolution
潜入,Infiltration
公平,fair
公式,official
復活,revival
派,sect
尾行,tailing
軍事,military
合衆,commonwealth
含め,including
結,Conclusion
物事,things
勿論,Of course
念,Thought
英国,uk
分け,division
地面,Ground
単に,simply
一瞬,for a moment
共同,Joint
販売,sale
体験,experience
用事,business
存,Existence
身分,status
集会,gathering
火事,fire
車両,vehicle
挑戦,challenge
叔母,aunt
配達,delivery
入手,obtain
資格,qualification
判事,judge
小説,novel
呪文,incantation
美味し,Delicious
女房,wife
反乱,rebellion
マリア,Maria
重大,serious
聖,holy
産,production
通過,passing
正常,normal
アマンダ,amanda
支え,Support
軍人,military man
期間,period
アーロン,aaron
加わ,join
五,Five
医学,medicine
不要,Unnecessary
天,Heaven
馬鹿げ,ridiculous
調整,adjustment
執行,execution
製,made
補,Supplementary
必死,desperately
バウアー,bauer
不正,fraud
クリア,clear
用件,business
薬物,drugs
創造,creation
乗り越え,get over it
規模,scale
悪化,worsening
置き去り,left behind
言い訳,excuse
業,business
申し上げ,I would like to say
制服,uniform
顧客,client
護衛,escort
無人,unmanned
信仰,faith
防,prevention
造,Construction
当局,authorities
告発,accusation
日々,day to day
設定,setting
正解,correct answer
変身,Transform
工作,Crafts
処刑,execution
役割,role
一員,member
発砲,firing
女子,girls
電子,electronic
結論,conclusion
真面目,serious
予測,prediction
修正,correction
対象,subject
一時,temporary
風呂,bath
取り出,Take out
手錠,handcuffs
牧師,pastor
半沢,Hanzawa
実現,realization
区,Ward
種族,Race
時点,point in time
代わ,substitute
土曜,Saturday
広が,spread
戦え,fight
指令,Command
生き物,living things
美術,art
自慢,boast
舞台,stage
上げろ,Raise it
質,quality
交通,traffic
引き起こ,cause
建て,Built
上昇,rise
心理,psychology
楽しめ,enjoy it
検討,Consider
勤務,work
作用,action
料,fee
付き,with
隠れ家,hideout
隊長,Captain
世代,generation
前進,forward
決まり,rule
繭子,cocoon
死因,cause of death
続き,continuation
酸素,oxygen
凶器,murder weapon
引き受け,underwriting
助言,advice
国王,king
外科,surgery
取り引き,transaction
此処,here
支払い,payment
背後,behind
図書,books
際,edge
症状,symptoms
話しかけ,talk to
引きず,drag
用心,Caution
転送,transfer
公開,Release
商売,business
隔離,isolation
理想,ideal
月曜,Monday
派遣,dispatch
並,common
表現,Expression
ジュニア,junior
乗客,passenger
初めまして,nice to meet you
目指,aim
年齢,age
虐殺,massacre
アン,Ann
問,question
悪党,villain
争,dispute
使い,use
現,current
本人,The person himself
十,ten
報道,news coverage
分離,separation
発信,Outgoing
印象,impression
正面,front
面会,Visitation
ヵ月,months
上院,senate
目立,Conspicuous
戦略,strategy
下り,Downhill
艦長,captain
心当たり,A guess
引退,retirement
金融,finance
無くな,It's gone
何千,thousands
婦人,Woman
供給,supply
同盟,alliance
毎晩,every night
族,tribe
商品,merchandise
見当,register
職員,Staff
正式,formal
近づけ,get closer
一切,Nothing
祖母,grandmother
群れ,flock
皇帝,emperor
王女,princess
共和,republic
自転,rotation
アブ,horsefly
テア,Thea
世の中,world
級,grade
引っ越,Moving
魔術,magic
死人,dead person
進化,evolution
直ちに,right away
期,Period
北部,northern
充分,sufficient
部長,manager
祝福,blessing
アイリス,iris
庁,Agency
アウト,out
給料,salary
同情,sympathy
議会,parliament
黄色,yellow
外国,foreign country
作動,operation
手掛かり,clue
大臣,minister
話題,topic
校長,principal
恋愛,love affair
追加,addition
検索,search
連行,taken away
立ち上が,stand up
建設,construction
数百,hundreds
成果,Achievement
発言,comment
苦手,weak point
画像,image
取り組,Initiatives
何時,What time
類,kind
株,KK
司法,judiciary
双子,twins
放棄,abandonment
出番,Turn
電車,train
玄関,entrance
屋敷,mansion
当たり前,obvious
直面,face
共犯,accomplice
笑い声,laughter
指名,name
具体,concrete
野球,baseball
突入,rush
救世,salvation
儀式,ritual
圧力,pressure
ノア,Noah
キャリア,career
聖書,Bible
連れ戻,bring back
アル,Al
周辺,neighborhood
高度,altitude
及,Reach
大会,tournament
職場,workplace
比べ,compared
あた,Ata
日曜,Sunday
アドバイス,advice
知恵,wisdom
融資,financing
最中,Monaka
乗り,ride
議長,chairman
信念,belief
連れ去,taken away
入院,hospitalization
気味,A little bit
借金,debt
整理,Organize
資産,assets
感動,Impressed
検死,autopsy
アレク,Alec
検察,prosecutor
引け,Close
アディ,Adi
生涯,lifetime
企,Plan
承認,approval
間抜け,Goofy
アーメン,Amen
買い物,shopping
高速,high speed
解雇,dismissal
アリバイ,alibi
昼食,lunch
天気,weather
引き金,trigger
獲物,prey
再生,reproduction
古代,ancient
降伏,Surrender
南上,southward
役目,role
宗教,religion
一同,All together
録,record
界,world
領域,region
ブライアン,brian
屋上,rooftop
アルファ,alpha
暴行,assault
発明,invention
社員,employee
静流,static current
検事,prosecutor
世,world
半年,half a year
入り口,Entrance
あたり,around
同然,Same as
悪人,evil person
達成,achievement
弱点,Weakness
評議,council
戦場,battlefield
物理,Physics
死に,to death
進展,progress
受信,reception
菓子,confectionery
高級,luxury
死ね,Die
アフリカ,Africa
主任,chief
手順,procedure
野朗,Noro
あちこち,everywhere
時刻,time
無効,invalid
防御,defense
送れ,Send it
複数,multiple
下手,poor
港,port
死後,after death
少々,a little
電力,electric power
分間,minutes
廊下,corridor
真ん中,middle
事項,matter
選べ,choose
処置,treatment
伝統,tradition
地点,point
曲が,Song
新人,newcomer
下ろせ,Get it down
発電,power generation
保存,keep
十字,cross
代償,compensation
習,Xi
愛情,love
サマリア,Samaria
評判,reputation
誠人,Makoto
挙げ,List
構築,construction
解読,deciphering
昇進,promotion
住民,residents
強化,reinforcement
手続き,procedure
親愛,dear
直前,Just before
周囲,surroundings
一歩,one step
博物,natural history
偽物,fake
拡大,expansion
競争,competition
随分,Quite a lot
寄付,Donation
積,product
以下,below
永久,eternal
無用,useless
神聖,sacred
消防,fire department
大物,big game
製造,manufacturing
立ち向か,stand up
党,party
公表,Announcement
録音,recording
素早,quickly
ウィリアム,william
肉体,body
年寄り,old people
誘導,induction
起訴,indictment
内側,inside
特徴,Features
友情,friendship
やる気,Motivation
自体,itself
広げ,spread out
取り上げ,featured
やり直,redo
不法,illegal
展開,Deployment
予備,spare
手下,minions
カ月,months
匿名,Anonymous
張,Zhang
偵察,reconnaissance
アンジェラ,angela
アイザック,Isaac
国防,national defense
王妃,queen
優勝,Victory
黄金,gold
忠実,faithful
利口,clever
中佐,Lieutenant Colonel
取り除,removed
分野,field
果て,End
登場,Appearance
取締,control
拍手,applause
会計,accounting
懸命,working hard
部品,parts
本日,today
提出,submission
売人,seller
谷,valley
争い,quarrel
再開,resume
人工,artificial
座標,Coordinate
色んな,Various
地位,position
出会い,encounter
置け,Put it down
開放,open
経済,economy
小便,piss
作家,Writer
率直,frankness
大声,loudly
手放,Letting go
基づ,based on
毎年,every year
アビー,abby
多少,somewhat
編集,edit
数千,thousands
長年,many years
独身,single
材料,material
部門,Department
エリア,area
郡,county
土,soil
出入り,Coming and going
意外,unexpected
参,three
模様,pattern
予言,prophecy
立ち去,leave
植物,plant
文書,documents
善人,good person
教わ,Taught me
先日,the other day
勝者,winner
追放,expulsion
付き合い,companionship
持ち主,Owner
適当,suitable
無料,free
孤児,orphan
手伝え,Help
空腹,Hunger
演,performance
宣言,declaration
護,protection
引き上げ,pull up
明白,obvious
制限,limit
侵略,invasion
米,rice
幸福,happiness
合法,legal
作り,making
職業,Profession
国内,Domestic
下着,underwear
合格,Passed
ライアス,Laias
化け物,monster
葬式,funeral
音声,audio
構造,structure
黙示,Revelation
先ず,First of all
支店,branch
最強,strongest
地震,earthquake
解明,elucidation
見付け,finding
済ま,Done
購入,purchase
電波,radio waves
提督,admiral
ツアー,Tours
同行,accompany
尊重,respect
期限,deadline
メディア,media
空間,space
自白,confession
会見,press conference
動脈,artery
費用,cost
マイアミ,miami
狂気,Insanity
銀,Silver
海外,abroad
売り,sell
劇場,theater
隣人,neighbor
木曜,Thursday
知り合,acquaintance
空け,empty
多数,many
報復,Retaliation
面接,interview
外交,diplomacy
アンドリュー,andrew
内緒,secret
誠実,sincerity
中継,relay
原子,atom
表示,display
地方,region
足跡,footprints
本名,real name
悪者,bad guy
日付,date
引き継,Take over
守護,protection
味わ,Taste
反撃,counterattack
再会,reunion
言語,language
アフガニスタン,Afghanistan
久利生,Kurio
行き先,destination
結末,ending
無く,Without
演技,acting
継続,continuation
無限,infinite
固定,fixed
製品,product
送り込,sending
解け,Unravel
貨物,cargo
離陸,take off
潜水,diving
任,duty
上着,jacket
空軍,Air Force
アリ,Ali
通話,call
押し入,closet
火曜,Tuesday
児,child
一応,Just in case
体制,System
栄光,glory
技,Technique
単独,Alone
自警,vigilante
一晩,One night
加速,acceleration
過剰,excess
アボット,abbot
丁度,exactly
不利,Unfavorable
人種,race
民主,democracy
交代,replacement
果,Fruit
史上,history
引き渡,handover
独房,solitary confinement
民衆,people
陸軍,army
書け,Write
アレン,Allen
イアン,ian
有効,valid
検出,detection
集合,set
食え,Eat
ピアノ,piano
経歴,Career
判決,judgment
利,Interest
所持,Possession
進歩,progress
見解,opinion
都,capital
アーチャー,Archer
声明,statement
回避,Avoidance
文化,culture
粒子,particle
アイリーン,Irene
通路,aisle
坊主,monk
持ち込,Bring in
設置,Installation
載せ,Put it on
報,Information
業界,industry
取り返,take back
意地,stubbornness
獲得,acquisition
変異,mutation
調達,procurement
情熱,passion
最適,optimal
区域,area
変人,weirdo
催眠,hypnosis
現象,phenomenon
法的,legal
本能,instinct
葉,leaf
風邪,cold
仕上げ,finishing
重力,gravity
着信,Incoming call
台所,kitchen
変態,transformation
白状,confession
アカデミー,academy
飛び降り,jumping off
意気,spirit
送り,sending
近寄,approach
成績,Grades
合流,Confluence
是非,I'd love to
例外,exception
同志,Comrade
素直,Obedient
ワイアット,wyatt
本来,originally
皆殺し,Kill everyone
各,each
応,Response
引き出,drawer
主に,mainly
対抗,opposition
充電,charging
墓地,cemetery
座り,sitting
売買,buying and selling
大体,roughly
創,Creation
田舎,countryside
万歳,Banzai
同じく,Similarly
休め,Rest
見張り,lookout
論,theory
番地,street address
体重,body weight
直感,intuition
伝わ,handed down
一丿,One yen
衝動,impulse
手首,wrist
持ち帰,takeaway
一種,kind of
相応し,suitable
直後,Immediately after
探知,detection
生き返,resurrection